Profile,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
,Hyunjoo,Lee Hyunjoo,이현주,현주,1998-02-05,UNI.T,South Korea,,0,0,Seoul,,APRIL,F,,,
,Daseul,Yang Daseul,양다슬,다슬,2000-09-14,Maka Maka,South Korea,,0,0,,,,F,,,
,Aeji,Kwon Aeji,권애지,애지,1999-10-25,Hashtag,South Korea,,163,0,Daegu,,,F,,,
,Yoonjo,Shin Yoonjo,신윤조,윤조,1992-12-14,UNI.T,South Korea,,0,0,Seoul,,Hello Venus,F,,,
,Daewang Nim,Daewang Nim,대왕님,대왕님,1996-04-08,Pink Fantasy,South Korea,,162,49,,,,F,,,
,Chaeyeon,Kim Chaeyeon,김채연,채연,2004-12-04,Busters,South Korea,,0,0,,,,F,,,
,Sanga,Lee Sanga,이상아,상아,1999-08-05,,South Korea,,165,0,,,Pink Fantasy,F,,,
,Rainie,Chu Chingyu,주칭위,레이니,2000-11-16,bugAboo,Taiwan,,0,0,,,,F,,,
https://dbkpop.com/idol/aisha-everglow/,Aisha,Heo Yoorim,허유림,아샤,2000-07-21,Everglow,South Korea,,0,0,,,,F,,,
,Royeon,Jeon Hyunjoo,	 전현주,로연,1998-02-20,ANS,South Korea,,0,0,,,,F,,,
,Della,Park Sehyun,박세현,델라,1995-09-03,Rockit Girl,South Korea,,0,0,,,,F,,,
,Woo-ah,Kim Chaewon,김채원,우아,1997-06-20,CRAXY,South Korea,,0,0,,,,F,,,
,Doah,Kim Doah,김도아,도아,2003-12-04,FANATICS,South Korea,,163,42,,FANATICS FLAVOR,,F,,,
https://dbkpop.com/idol/yena-izone/,Yena,Choi Yena,최예나,예나,1999-09-29,IZ*ONE,South Korea,,0,0,Seoul,,,F,,,
,Doi,Kim Doi,김도이,도이,1994-04-12,FANATICS,South Korea,,170,0,,,,F,,,
,Wooyeon,Park Jinkyung,박진경,우연,2003-02-11,woo!ah!,South Korea,,0,0,,,,F,Vocalist,,
,Dami,Hong Dayoung,홍다영,담이,2001-06-07,ANS,South Korea,,0,0,,,,F,,,
,Sihyeon,Kang Sihyeon,강시현,시현,1998-07-15,ARIAZ,South Korea,,0,0,,,,F,,,
https://dbkpop.com/idol/woohee-dal-shabet/,Woohee,Bae Woohee,배우희,우희,1991-11-21,Dal Shabet,South Korea,,0,0,Busan,UNI.T,,F,,,
,Minseo,Kim Minseo,김민서,민서,2004-08-12,woo!ah!,South Korea,,0,0,,,,F,"Vocalist, Dancer",,
